part_of_day,month_e,avg_humidity,avg_solar_radiation,prev_avg_humidity,prev_avg_solar_radiation,diff_avg_humidity,diff_avg_solar_radiation
Afternoon,3,67.52678571428571,229.47433035714286,,,,
Afternoon,4,68.14950980392157,266.37254901960785,67.52678571428571,229.47433035714286,0.6227240896358666,36.898218662464984
Afternoon,5,63.231070496083554,322.7493472584856,68.14950980392157,266.37254901960785,-4.918439307838021,56.37679823887777
Afternoon,6,61.09988109393579,350.05112960761,63.231070496083554,322.7493472584856,-2.1311894021477613,27.30178234912438
Afternoon,7,70.08228571428572,331.7462857142857,61.09988109393579,350.05112960761,8.982404620349925,-18.30484389332429
Afternoon,8,68.01117318435755,298.3519553072626,70.08228571428572,331.7462857142857,-2.071112529928172,-33.39433040702312
Afternoon,9,62.29334916864608,244.67339667458432,68.01117318435755,298.3519553072626,-5.717824015711464,-53.67855863267826
Afternoon,10,65.55777777777777,120.53444444444445,62.29334916864608,244.67339667458432,3.2644286091316914,-124.13895223013988
Afternoon,11,62.50172612197929,68.45799769850403,65.55777777777777,120.53444444444445,-3.056051655798484,-52.076446745940416
Evening,3,69.72922636103152,9.763610315186247,,,,
Evening,4,68.38072669826224,20.036334913112164,69.72922636103152,9.763610315186247,-1.3484996627692851,10.272724597925917
Evening,5,65.00677966101695,33.33050847457627,68.38072669826224,20.036334913112164,-3.373947037245287,13.294173561464106
Evening,6,61.708133971291865,49.24401913875598,65.00677966101695,33.33050847457627,-3.2986456897250847,15.91351066417971
Evening,7,71.18608414239482,46.77669902912621,61.708133971291865,49.24401913875598,9.477950171102954,-2.4673201096297674
Evening,8,69.44352159468438,29.372093023255815,71.18608414239482,46.77669902912621,-1.7425625477104347,-17.4046060058704
Evening,9,65.23956442831216,14.09437386569873,69.44352159468438,29.372093023255815,-4.20395716637222,-15.277719157557085
Evening,10,68.3444976076555,2.15311004784689,65.23956442831216,14.09437386569873,3.104933179343334,-11.94126381785184
Evening,11,64.87724550898204,1.2395209580838322,68.3444976076555,2.15311004784689,-3.4672520986734554,-0.9135890897630576
Morning,3,71.0684380032206,170.24235104669887,,,,
Morning,4,70.80068728522336,174.8591065292096,71.0684380032206,170.24235104669887,-0.26775071799724515,4.61675548251074
Morning,5,69.66416510318949,240.56003752345217,70.80068728522336,174.8591065292096,-1.1365221820338718,65.70093099424255
Morning,6,65.92300962379703,268.3167104111986,69.66416510318949,240.56003752345217,-3.741155479392461,27.75667288774642
Morning,7,75.0967213114754,244.70737704918034,65.92300962379703,268.3167104111986,9.173711687678377,-23.609333362018248
Morning,8,73.82352941176471,207.4812091503268,75.0967213114754,244.70737704918034,-1.273191899710696,-37.22616789885353
Morning,9,69.85601404741001,198.12554872695347,73.82352941176471,207.4812091503268,-3.9675153643546963,-9.355660423373337
Morning,10,71.62409054163298,112.5658852061439,69.85601404741001,198.12554872695347,1.7680764942229672,-85.55966352080956
Morning,11,67.75434243176178,89.14805624483044,71.62409054163298,112.5658852061439,-3.869748109871196,-23.41782896131346
