station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Foster Weather Station,2015-12-22 09:00:00,45,Safe,9,22,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-22 03:00:00,0,Safe,3,22,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-22 02:00:00,0,Safe,2,22,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-21 22:00:00,0,Safe,22,21,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-21 17:00:00,0,Safe,17,21,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-21 01:00:00,0,Safe,1,21,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-20 20:00:00,0,Safe,20,20,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-20 18:00:00,0,Safe,18,20,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-20 17:00:00,0,Safe,17,20,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-20 16:00:00,8,Safe,16,20,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-19 17:00:00,0,Safe,17,19,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-19 12:00:00,387,Moderately safe,12,19,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-19 07:00:00,0,Safe,7,19,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-19 05:00:00,0,Safe,5,19,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-18 16:00:00,4,Safe,16,18,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-18 02:00:00,0,Safe,2,18,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-17 21:00:00,0,Safe,21,17,12,2015,41.976464,-87.647525
Oak Street Weather Station,2015-12-31 17:00:00,3,Safe,17,31,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-31 00:00:00,3,Safe,0,31,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-29 11:00:00,99,Safe,11,29,12,2015,41.901997,-87.622817
Oak Street Weather Station,2015-12-29 03:00:00,2,Safe,3,29,12,2015,41.901997,-87.622817
