station_name,measurement_timestamp,air_temperature,wet_bulb_temperature,humidity,rain_intensity,interval_rain,total_rain,precipitation_type,wind_direction,wind_speed,maximum_wind_speed,barometric_pressure,solar_radiation,heading,battery_life,measurement_timestamp_label,measurement_id
63rd Street Weather Station,2016-12-31T23:00:00.000,-1.3,-2.8,73,0,0,39.3,0,264,2.2,3.2,992.3,5,354,11.8,12/31/2016 11:00 PM,63rdStreetWeatherStation201612312300
Foster Weather Station,2016-12-31T23:00:00.000,-1.56,,63,,0,,,264,1.6,1.8,991.5,0,,14.8,12/31/2016 11:00 PM,FosterWeatherStation201612312300
Oak Street Weather Station,2016-12-31T23:00:00.000,-0.3,-2.2,67,0,0,135.1,0,334,0.9,1.7,992.6,2,0,12,12/31/2016 11:00 PM,OakStreetWeatherStation201612312300
63rd Street Weather Station,2016-12-31T22:00:00.000,-0.7,-2.4,70,0,0,39.3,0,251,3.6,5.1,991.4,4,354,11.8,12/31/2016 10:00 PM,63rdStreetWeatherStation201612312200
Foster Weather Station,2016-12-31T22:00:00.000,-1.06,,61,,0,,,210,1.4,2,990.9,0,,14.8,12/31/2016 10:00 PM,FosterWeatherStation201612312200
Oak Street Weather Station,2016-12-31T22:00:00.000,0.4,-1.8,63,0,0,135.1,0,283,1.7,3.7,991.8,2,1,12,12/31/2016 10:00 PM,OakStreetWeatherStation201612312200
63rd Street Weather Station,2016-12-31T21:00:00.000,-0.2,-2.2,66,0,0,39.3,0,266,1.9,2.9,990.5,4,354,11.9,12/31/2016 9:00 PM,63rdStreetWeatherStation201612312100
Foster Weather Station,2016-12-31T21:00:00.000,-0.67,,59,,0,,,5,0.6,0.9,989.8,0,,14.8,12/31/2016 9:00 PM,FosterWeatherStation201612312100
Oak Street Weather Station,2016-12-31T21:00:00.000,0.6,-1.7,61,0,0,135.1,0,330,1.3,2.7,990.7,2,0,12,12/31/2016 9:00 PM,OakStreetWeatherStation201612312100
63rd Street Weather Station,2016-12-31T20:00:00.000,0.2,-2,63,0,0,39.3,0,267,1.9,3.3,989.6,4,353,11.9,12/31/2016 8:00 PM,63rdStreetWeatherStation201612312000
Foster Weather Station,2016-12-31T20:00:00.000,-0.28,,57,,0,,,270,3.2,3.6,988.8,0,,14.8,12/31/2016 8:00 PM,FosterWeatherStation201612312000
Oak Street Weather Station,2016-12-31T20:00:00.000,0.9,-1.6,59,0,0,135.1,0,260,1,2.1,989.9,2,0,12.1,12/31/2016 8:00 PM,OakStreetWeatherStation201612312000
63rd Street Weather Station,2016-12-31T19:00:00.000,0.7,-1.7,61,0,0,39.3,0,282,3.5,6.2,989.1,4,354,11.9,12/31/2016 7:00 PM,63rdStreetWeatherStation201612311900
Foster Weather Station,2016-12-31T19:00:00.000,0.06,,54,,0,,,262,4.5,4.7,988.5,0,,15.2,12/31/2016 7:00 PM,FosterWeatherStation201612311900
Oak Street Weather Station,2016-12-31T19:00:00.000,1.3,-1.4,58,0,0,135.1,0,287,0.7,2.3,989.4,2,0,12,12/31/2016 7:00 PM,OakStreetWeatherStation201612311900
63rd Street Weather Station,2016-12-31T18:00:00.000,1.1,-1.4,58,0,0,39.3,0,288,3.2,8.3,988.6,4,354,11.9,12/31/2016 6:00 PM,63rdStreetWeatherStation201612311800
Foster Weather Station,2016-12-31T18:00:00.000,0.67,,51,,0,,,248,3.5,4,987.5,0,,14.8,12/31/2016 6:00 PM,FosterWeatherStation201612311800
Oak Street Weather Station,2016-12-31T18:00:00.000,1.8,-1.1,55,0,0,135.1,0,329,1.2,2.5,988.8,2,1,12.1,12/31/2016 6:00 PM,OakStreetWeatherStation201612311800
63rd Street Weather Station,2016-12-31T17:00:00.000,1.6,-1.2,56,0,0,39.3,0,285,5.9,8.5,987.3,4,354,11.9,12/31/2016 5:00 PM,63rdStreetWeatherStation201612311700
Foster Weather Station,2016-12-31T17:00:00.000,1,,49,,0,,,305,6.7,7.3,986.1,0,,15.2,12/31/2016 5:00 PM,FosterWeatherStation201612311700
Oak Street Weather Station,2016-12-31T17:00:00.000,2.3,-0.8,53,0,0,135.1,0,344,2.8,4.9,987.6,2,0,12,12/31/2016 5:00 PM,OakStreetWeatherStation201612311700
