avg_humidity,month
71.36758424299953,January
64.33243023570849,February
70.11386138613861,March
70.23983423983424,April
67.83963080473032,May
65.05883977900552,June
73.68598233995586,July
71.95718571038996,August
67.61584840654608,September
69.56892166836215,October
65.8104335047759,November
66.24496451179743,December
